OrderID,CustomerID,EmployeeID,OrderDate
10001,1,4,1/01/2022
10002,3,3,2/01/2022
10003,5,5,3/01/2022
10004,7,4,4/01/2022
10005,9,3,5/01/2022
10006,11,7,5/01/2022
10007,13,5,5/01/2022
10008,15,3,6/01/2022
10009,17,1,6/01/2022
10010,19,3,7/01/2022
10011,21,1,8/01/2022
10012,23,2,9/01/2022
10013,25,3,10/01/2022
10014,27,8,11/01/2022
10015,29,9,11/01/2022
10016,31,1,11/01/2022
10017,33,2,11/01/2022
10018,35,1,11/01/2022
10019,37,4,11/01/2022
10020,39,5,12/01/2022
10021,41,1,12/01/2022
10022,43,3,12/01/2022
10023,45,4,13/01/2022
10024,47,6,14/01/2022
10025,49,5,15/01/2022
10026,51,4,16/01/2022
10027,53,3,16/01/2022
10028,55,4,16/01/2022
10029,57,6,17/01/2022
10030,59,7,18/01/2022
10031,61,6,19/01/2022
10032,63,4,20/01/2022
10033,65,3,21/01/2022
10034,67,5,22/01/2022
10035,69,7,23/01/2022
10036,71,8,24/01/2022
10037,73,6,25/01/2022
10038,75,3,26/01/2022
10039,77,2,27/01/2022
10040,79,1,28/01/2022
